"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 高雄市   桃源區 "," 桃源區勤和里辦公處 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 200 "," 包 "," 1040617 "
" 臺南市   西港區 "," 臺南市西港區老人文康活動中心 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 60 "," 包 "," 1050430 "
" 屏東縣   獅子鄉 "," 獅子村辦公處 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 20 "," 包 "," 1050302 "
" 臺中市   太平區 "," 永隆里里辦公處 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 72 "," 包 "," 1050527 "
" 高雄市   茂林區 "," 茂林舊衛生所 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 1000 "," 包 "," 1050605 "
" 嘉義縣   番路鄉 "," 鄰長宅（近福安宮） "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 24 "," 包 "," 1050608 "
" 高雄市   六龜區 "," 六龜區興龍里辦公處 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 80 "," 包 "," 1050917 "
" 新北市   深坑區 "," 深坑區公所 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 60 "," 包 "," 1050406 "
" 新竹縣   尖石鄉 "," 養老真耶穌教會 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 100 "," 包 "," 1040420 "
" 高雄市   桃源區 "," 桃源區勤和里辦公處 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 100 "," 包 "," 1030720 "
" 高雄市   桃源區 "," 桃源區二集團活動中心 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 80 "," 包 "," 1040617 "
" 嘉義縣   中埔鄉 "," 石硦村4鄰鄰長宅 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 60 "," 包 "," 1050520 "
" 臺南市   安平區 "," 臺南市安平區公所 "," 食品類 / 主食品 "," 1011050 --"," 麵條 "," 1包／包 "," 25 "," 包 "," 1050906 "
" 宜蘭縣   礁溪鄉 "," 礁溪鄉公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 5 "," 包 "," 1020927 "
" 新竹縣   竹北市 "," 竹北市公所災民救濟物資儲存室 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 6 "," 包 "," 1060116 "
" 金門縣   金城鎮 "," 金城鎮公所七樓 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 30 "," 包 "," 1040311 "
" 臺南市   東山區 "," 臺南市東山區東原老人活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1060430 "
" 高雄市   湖內區 "," 湖內區公所中正堂 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1040609 "
" 新北市   八里區 "," 大崁活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 26 "," 包 "," 1060529 "
" 宜蘭縣   礁溪鄉 "," 礁溪鄉公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 5 "," 包 "," 1020928 "
" 新北市   八里區 "," 八里區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1051230 "
" 嘉義縣   大埔鄉 "," 西興活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050615 "
" 新北市   三峽區 "," 有木國小 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 50 "," 包 "," 1050930 "
" 新北市   貢寮區 "," 貢寮社區活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 150 "," 包 "," 1050101 "
" 新北市   永和區 "," 中興安養堂 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 5 "," 包 "," 1050507 "
" 新北市   中和區 "," 中和區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 300 "," 包 "," 1060128 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 40 "," 包 "," 1050805 "
" 高雄市   湖內區 "," 湖內區公所中正堂 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1050808 "
" 高雄市   鳳山區 "," 鳳山區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 400 "," 包 "," 1041126 "
" 新北市   八里區 "," 長坑活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 52 "," 包 "," 1060529 "
" 嘉義縣   大埔鄉 "," 埔頂集會所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050615 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 7 "," 包 "," 1050331 "
" 臺中市   大肚區 "," 大肚區公所五樓儲存庫 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 200 "," 包 "," 1060223 "
" 臺中市   后里區 "," 里幹事聯合辦公室 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 48 "," 包 "," 1050131 "
" 臺南市   安定區 "," 臺南市安定區老人文康活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 16 "," 包 "," 1050705 "
" 屏東縣   琉球鄉 "," 屏東縣琉球鄉公所1樓物資儲藏室 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 2 "," 包 "," 1060310 "
" 新北市   八里區 "," 大崁活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 24 "," 包 "," 1051223 "
" 苗栗縣   三灣鄉 "," 三灣鄉公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 4 "," 包 "," 1060204 "
" 新北市   三峽區 "," 建安國小 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 26 "," 包 "," 1041116 "
" 臺中市   中區 "," 臺中市中區區公所6樓禮堂 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 1 "," 包 "," 1051129 "
" 嘉義縣   大埔鄉 "," 圖書館 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050615 "
" 嘉義縣   大埔鄉 "," 坪林分校 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050615 "
" 新北市   中和區 "," 中和區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 300 "," 包 "," 1051112 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 24 "," 包 "," 1041001 "
" 臺南市   東山區 "," 臺南市東山區代表會 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 6 "," 包 "," 1060430 "
" 臺南市   學甲區 "," 臺南市學甲區前鎮民代表會 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1060828 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 7 "," 包 "," 1050227 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 7 "," 包 "," 1050419 "
" 新北市   坪林區 "," 新北市坪林區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 2 "," 包 "," 1050124 "
" 金門縣   金湖鎮 "," 金湖鎮公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1040625 "
" 新北市   平溪區 "," 平溪市民活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 50 "," 包 "," 1041011 "
" 臺中市   東勢區 "," 臺中市東勢區延平社區活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 800 "," 包 "," 1050310 "
" 新北市   八里區 "," 八里區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 39 "," 包 "," 1060529 "
" 臺中市   東勢區 "," 臺中市東勢區延平社區活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 1125 "," 包 "," 1050415 "
" 新北市   三峽區 "," 三峽區公所倉庫 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 170 "," 包 "," 1050930 "
" 高雄市   左營區 "," 左營區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 120 "," 包 "," 1050612 "
" 新北市   八里區 "," 大崁活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1051119 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050525 "
" 新北市   五股區 "," 新北市五股區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 60 "," 包 "," 1051125 "
" 金門縣   金湖鎮 "," 金湖鎮公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050422 "
" 嘉義縣   大埔鄉 "," 公有零售市場 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 250 "," 包 "," 1050615 "
" 臺中市   潭子區 "," 臺中市潭子區公所倉庫 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 3 "," 包 "," 1050820 "
" 桃園市   中壢區 "," 中壢區松鶴會館 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 200 "," 包 "," 1040906 "
" 嘉義縣   大埔鄉 "," 永樂村長家 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050615 "
" 新北市   八里區 "," 大崁活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 24 "," 包 "," 1051230 "
" 新北市   八里區 "," 大崁活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1051031 "
" 臺中市   潭子區 "," 臺中市潭子區公所倉庫 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 2 "," 包 "," 1050831 "
" 新北市   三峽區 "," 大埔國小 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 100 "," 包 "," 1040927 "
" 臺南市   新化區 "," 臺南市新化區公所2.3樓 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1050713 "
" 新北市   八里區 "," 長坑活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 3 "," 包 "," 1050618 "
" 基隆市   七堵區 "," 基隆市七堵區公所七樓【左側】 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1031024 "
" 新北市   八里區 "," 八里區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1050828 "
" 新北市   三峽區 "," 建安國小 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1041114 "
" 新北市   三峽區 "," 竹崙市民活動中心 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 100 "," 包 "," 1040927 "
" 高雄市   湖內區 "," 湖內區公所中正堂 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 12 "," 包 "," 1040610 "
" 新北市   三峽區 "," 三峽區公所倉庫 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 80 "," 包 "," 1051116 "
" 新北市   石門區 "," 石門區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 90 "," 包 "," 1040507 "
" 苗栗縣   泰安鄉 "," 八卦村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060219 "
" 新北市   金山區 "," 金山區運動休閒廣場 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050227 "
" 臺南市   安定區 "," 臺南市安定區老人文康活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050811 "
" 新北市   樹林區 "," 樹林區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050507 "
" 臺南市   新市區 "," 臺南市新市區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 100 "," 罐 "," 1051231 "
" 高雄市   大樹區 "," 大樹區原大樹鄉代表會 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1060823 "
" 南投縣   仁愛鄉 "," 發祥村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051001 "
" 嘉義市   東區 "," 嘉義市東區區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 5 "," 罐 "," 1041227 "
" 新北市   新莊區 "," 牡丹心活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 12 "," 罐 "," 1050424 "
" 臺北市   中山區 "," 臺北市新興國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 雲林縣   北港鎮 "," 台灣糖業公司北港量販店 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 10 "," 罐 "," 1031231 "
" 臺南市   安定區 "," 臺南市安定區體育運動公園（防災公園） "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050811 "
" 嘉義縣   番路鄉 "," 草山村長宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050627 "
" 南投縣   仁愛鄉 "," 春陽村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050302 "
" 嘉義縣   番路鄉 "," 前村長宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050627 "
" 高雄市   三民區 "," 三民區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1050124 "
" 新北市   林口區 "," 林口區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050108 "
" 臺南市   歸仁區 "," 臺南市歸仁區美學館 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051014 "
" 高雄市   小港區 "," 小港區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 20 "," 罐 "," 1051231 "
" 新北市   板橋區 "," 板橋區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1060602 "
" 新北市   淡水區 "," 長庚活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1061218 "
" 臺北市   中山區 "," 臺北市五常國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 南投縣   仁愛鄉 "," 精英村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050205 "
" 嘉義縣   阿里山鄉 "," 山美村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 84 "," 罐 "," 1050401 "
" 嘉義縣   阿里山鄉 "," 新美村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 54 "," 罐 "," 1050401 "
" 嘉義縣   番路鄉 "," 社區理事長宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050627 "
" 新北市   石碇區 "," 石碇區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1050221 "
" 高雄市   左營區 "," 左營區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1051023 "
" 屏東縣   崁頂鄉 "," 崁頂老人文康中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 25 "," 罐 "," 1041230 "
" 宜蘭縣   蘇澳鎮 "," 東澳里 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1050701 "
" 南投縣   仁愛鄉 "," 都達村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051001 "
" 苗栗縣   泰安鄉 "," 梅園村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051205 "
" 新北市   永和區 "," 中興安養堂 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050712 "
" 新竹縣   新豐鄉 "," 新豐鄉上坑社區活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051016 "
" 桃園市   龍潭區 "," 龍潭區婦幼館 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061015 "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061031 "
" 臺東縣   東河鄉 "," 泰源國小 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1050120 "
" 南投縣   仁愛鄉 "," 互助村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050302 "
" 新北市   石碇區 "," 石碇區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1050317 "
" 新竹縣   尖石鄉 "," 尖石鄉公所物資所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050401 "
" 新北市   中和區 "," 中和區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 10 "," 罐 "," 1050415 "
" 臺東縣   金峰鄉 "," 賓茂村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050317 "
" 嘉義縣   大埔鄉 "," 永樂村長家 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050327 "
" 新北市   平溪區 "," 平溪市民活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1040806 "
" 新北市   烏來區 "," 福山活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 5 "," 罐 "," 1021231 "
" 新竹縣   尖石鄉 "," 尖石鄉公所物資所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 16 "," 罐 "," 1050903 "
" 臺東縣   東河鄉 "," 北源活動中心(村辦公處) "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1050120 "
" 新北市   三重區 "," 新北市三重區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050322 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1061031 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 新北市   石門區 "," 石門區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1040812 "
" 臺東縣   鹿野鄉 "," 鹿野鄉公所倉庫 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050217 "
" 嘉義縣   大埔鄉 "," 圖書館 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050327 "
" 南投縣   仁愛鄉 "," 親愛村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050302 "
" 臺東縣   東河鄉 "," 都蘭國小 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050120 "
" 新北市   三峽區 "," 大埔國小 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1040918 "
" 高雄市   茂林區 "," 茂林舊衛生所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050117 "
" 南投縣   仁愛鄉 "," 萬豐村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051001 "
" 新北市   永和區 "," 中興安養堂 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1050302 "
" 臺東縣   海端鄉 "," 海端鄉公所後倉庫 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 20 "," 罐 "," 1061022 "
" 南投縣   仁愛鄉 "," 南豐村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051001 "
" 新北市   深坑區 "," 深坑區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1051013 "
" 嘉義縣   番路鄉 "," 鄰長宅（近福安宮） "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050627 "
" 南投縣   仁愛鄉 "," 都達村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050302 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051122 "
" 新北市   蘆洲區 "," 蘆洲區公所社會人文課 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 12 "," 罐 "," 1041216 "
" 新北市   鶯歌區 "," 南靖里活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1030310 "
" 雲林縣   東勢鄉 "," 立昇商店 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 360 "," 罐 "," 1031231 "
" 新竹縣   新豐鄉 "," 新豐鄉老人文康活動中心新豐鄉老人會館 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 5 "," 罐 "," 1061014 "
" 高雄市   茂林區 "," 茂林舊衛生所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050117 "
" 新北市   坪林區 "," 新北市坪林區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051001 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺南市   學甲區 "," 臺南市學甲區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 5 "," 罐 "," 1050930 "
" 高雄市   甲仙區 "," 小林社區活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1060115 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1070128 "
" 嘉義縣   番路鄉 "," 公興村長宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 6 "," 罐 "," 1050627 "
" 嘉義縣   大埔鄉 "," 公有零售市場 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 25 "," 罐 "," 1050327 "
" 苗栗縣   泰安鄉 "," 大興村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060219 "
" 臺南市   楠西區 "," 臺南市楠西區大智山玄空法寺 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051002 "
" 屏東縣   新埤鄉 "," 屏東縣新埤鄉公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050531 "
" 高雄市   杉林區 "," 大愛園區活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050617 "
" 屏東縣   琉球鄉 "," 屏東縣琉球鄉公所1樓物資儲藏室 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050703 "
" 新北市   板橋區 "," 板橋區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1061127 "
" 新竹縣   尖石鄉 "," 梅花長老教會 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1060601 "
" 新竹縣   新豐鄉 "," 新豐鄉上坑社區活動中心 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061009 "
" 苗栗縣   泰安鄉 "," 中興村辦公處 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051205 "
